term_id,count,Total,Total_dif_count
GO:0009505,3818,572970,569152
GO:0009657,1983,572970,570987
GO:0003729,1599,572970,571371
GO:0009725,1411,572970,571559
GO:0009506,1283,572970,571687
GO:0043161,1196,572970,571774
GO:0009737,1139,572970,571831
GO:0009651,1130,572970,571840
GO:0000325,1097,572970,571873
GO:0009738,963,572970,572007
GO:0048868,858,572970,572112
GO:0008340,846,572970,572124
GO:0019953,839,572970,572131
GO:0009507,828,572970,572142
GO:0004857,805,572970,572165
GO:0005794,802,572970,572168
GO:0005773,771,572970,572199
GO:0005654,758,572970,572212
GO:0009314,746,572970,572224
GO:0016607,740,572970,572230
GO:0043086,727,572970,572243
GO:0044877,717,572970,572253
GO:0009416,715,572970,572255
GO:0009926,712,572970,572258
GO:0051726,694,572970,572276
GO:0005730,675,572970,572295
GO:0019899,669,572970,572301
GO:0045471,644,572970,572326
GO:0000226,640,572970,572330
GO:0009414,633,572970,572337
GO:0005874,628,572970,572342
GO:0009408,622,572970,572348
GO:0005789,612,572970,572358
GO:0043622,588,572970,572382
GO:0042175,575,572970,572395
GO:0009617,573,572970,572397
GO:0051082,572,572970,572398
GO:0006888,571,572970,572399
GO:0031969,568,572970,572402
GO:0034976,564,572970,572406
GO:0005739,562,572970,572408
GO:0050832,556,572970,572414
GO:0005615,552,572970,572418
GO:0048316,549,572970,572421
GO:0009941,547,572970,572423
GO:0008017,545,572970,572425
GO:0042742,543,572970,572427
GO:0005768,530,572970,572440
GO:0008047,511,572970,572459
GO:0030036,499,572970,572471
GO:2001238,493,572970,572477
GO:0009570,493,572970,572477
GO:0004364,477,572970,572493
GO:0009742,473,572970,572497
GO:0034663,471,572970,572499
GO:0006749,466,572970,572504
GO:0048678,466,572970,572504
GO:0003779,462,572970,572508
GO:0009536,458,572970,572512
GO:0000139,457,572970,572513
GO:0005783,455,572970,572515
GO:0001933,451,572970,572519
GO:0006970,447,572970,572523
GO:0005938,446,572970,572524
GO:0036503,446,572970,572524
GO:0014823,440,572970,572530
GO:0061077,437,572970,572533
GO:0005793,435,572970,572535
GO:0030134,429,572970,572541
GO:0004197,414,572970,572556
GO:0012505,412,572970,572558
GO:0051085,404,572970,572566
GO:0009534,398,572970,572572
GO:0003756,394,572970,572576
GO:0006979,394,572970,572576
GO:0006457,392,572970,572578
GO:0097225,391,572970,572579
GO:0045944,385,572970,572585
GO:0046907,371,572970,572599
GO:0005802,362,572970,572608
GO:0009860,361,572970,572609
GO:0010497,358,572970,572612
GO:0009535,356,572970,572614
GO:0030154,352,572970,572618
GO:0030968,351,572970,572619
GO:0000118,347,572970,572623
GO:0016209,346,572970,572624
GO:0004656,343,572970,572627
GO:0043065,340,572970,572630
GO:0005759,338,572970,572632
GO:0030513,327,572970,572643
GO:0009553,324,572970,572646
GO:0010305,320,572970,572650
GO:0051087,320,572970,572650
GO:0010286,313,572970,572657
GO:0097228,310,572970,572660
GO:0000502,305,572970,572665
GO:0001675,304,572970,572666
GO:0042644,303,572970,572667
GO:0009567,300,572970,572670
GO:0009409,297,572970,572673
GO:0009793,295,572970,572675
GO:0008408,295,572970,572675
GO:0006890,292,572970,572678
GO:0005635,289,572970,572681
GO:0007283,287,572970,572683
GO:0001654,283,572970,572687
GO:0008250,283,572970,572687
GO:0005791,282,572970,572688
GO:0005856,279,572970,572691
GO:0060322,276,572970,572694
GO:0005925,270,572970,572700
GO:0015031,266,572970,572704
GO:1904294,266,572970,572704
GO:0043085,265,572970,572705
GO:1900026,262,572970,572708
GO:0071548,260,572970,572710
GO:1990748,255,572970,572715
GO:0030544,254,572970,572716
GO:0043268,253,572970,572717
GO:0007420,251,572970,572719
GO:0009642,251,572970,572719
GO:0005509,250,572970,572720
GO:0034599,249,572970,572721
GO:0140311,249,572970,572721
GO:0009734,248,572970,572722
GO:0031667,247,572970,572723
GO:0048471,239,572970,572731
GO:0006974,234,572970,572736
GO:0045880,232,572970,572738
GO:0006986,229,572970,572741
GO:0015036,229,572970,572741
GO:0002931,223,572970,572747
GO:0000138,223,572970,572747
GO:0031669,220,572970,572750
GO:0007623,218,572970,572752
GO:0004629,217,572970,572753
GO:0006621,213,572970,572757
GO:0042026,212,572970,572758
GO:0009100,211,572970,572759
GO:0043025,206,572970,572764
GO:0031683,204,572970,572766
GO:0042803,203,572970,572767
GO:0007286,201,572970,572769
GO:0072593,200,572970,572770
GO:0051259,200,572970,572770
GO:0048509,199,572970,572771
GO:0030027,199,572970,572771
GO:0009733,197,572970,572773
GO:0036157,193,572970,572777
GO:0097191,192,572970,572778
GO:0045785,191,572970,572779
GO:0005496,185,572970,572785
GO:0030178,182,572970,572788
GO:0097730,178,572970,572792
GO:1902175,177,572970,572793
GO:0044183,175,572970,572795
GO:0061629,171,572970,572799
GO:0015035,170,572970,572800
GO:0055038,169,572970,572801
GO:0000122,168,572970,572802
GO:0043202,166,572970,572804
