Accession	Source Database	Name	Tax ID	Tax Name	Length	Entry Accession	Matches
A0A1L1SUL6	reviewed	Thioredoxin domain-containing protein 6	10090	Mus musculus	329	PF00085	14..109
A0A509AQW5	reviewed	Thioredoxin 2	5823	Plasmodium berghei (strain Anka)	157	PF00085	59..154
A0A8M1N5Y4	reviewed	Protein disulfide-isomerase tmx3a	7955	Danio rerio	437	PF00085	32..121
A2YIW7	reviewed	Thioredoxin H-type	39946	Oryza sativa subsp. indica	122	PF00085	9..109
A2YUQ6	reviewed	Thioredoxin-like protein CITRX, chloroplastic	39946	Oryza sativa subsp. indica	189	PF00085	83..182
A3KPF5	reviewed	Protein disulfide isomerase-like 1-5	3702	Arabidopsis thaliana	537	PF00085	85..180,419..521
A4FUW8	reviewed	Thioredoxin domain-containing protein 11	9913	Bos taurus	957	PF00085	115..209,665..744
A8WG88	reviewed	Thioredoxin-related transmembrane protein 2-A	7955	Danio rerio	301	PF00085	141..212
C9K7C5	reviewed	Thioredoxin AMT13	5599	Alternaria alternata	118	PF00085	12..106
D3Z6P0	reviewed	Protein disulfide-isomerase A2	10090	Mus musculus	527	PF00085	55..151,393..495
D4B2L8	reviewed	Protein disulfide-isomerase	663331	Arthroderma benhamiae (strain ATCC MYA-4681 / CBS 112371)	523	PF00085	32..131,367..471
F4IXE4	reviewed	TPR repeat-containing thioredoxin TTL2	3702	Arabidopsis thaliana	730	PF00085	645..725
G4NFB7	reviewed	Thioredoxin-2	242507	Pyricularia oryzae (strain 70-15 / ATCC MYA-4617 / FGSC 8958)	171	PF00085	71..164
H2N4I1	reviewed	Sulfhydryl oxidase 1	9601	Pongo abelii	750	PF00085	55..129
M1A3D5	reviewed	Thioredoxin-like protein CITRX, chloroplastic	4113	Solanum tuberosum	175	PF00085	70..154
O00391	reviewed	Sulfhydryl oxidase 1	9606	Homo sapiens	747	PF00085	52..126
O08841	reviewed	Sulfhydryl oxidase 1	10141	Cavia porcellus	613	PF00085	47..128
O13704	reviewed	Thioredoxin domain-containing protein C13F5.05, mitochondrial	284812	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	363	PF00085	33..139
